CCT	x (black body)	y (black body)	u' (black body)	v' (black body)	y (daylight)	y (TM30)
2760	0.455012248499377	0.409446407335191	0.259883280183922	0.526180603785129		0.409446407335191
2770	0.454217600298360	0.409245703472280	0.259459759467110	0.525984200879195		0.409245703472280
2780	0.453426621399085	0.409042662972206	0.259039544767148	0.525787405202122		0.409042662972206
2790	0.452639300785869	0.408837332906172	0.258622602949277	0.525590230078965		0.408837332906172
2800	0.451855627306685	0.408629759737106	0.258208901281498	0.525392688641480		0.408629759737106
2810	0.451075589677048	0.408419989324343	0.257798407428865	0.525194793830352		0.408419989324343
2820	0.450299176483844	0.408208066928357	0.257391089447854	0.524996558397414		0.408208066928357
2830	0.449526376189136	0.407994037215556	0.256986915780840	0.524797994907845		0.407994037215556
2840	0.448757177133914	0.407777944263126	0.256585855250648	0.524599115742353		0.407777944263126
2850	0.447991567541816	0.407559831563923	0.256187877055195	0.524399933099352		0.407559831563923
2860	0.447229535522791	0.407339742031414	0.255792950762227	0.524200458997115		0.407339742031414
2870	0.446471069076735	0.407117718004646	0.255401046304124	0.524000705275915		0.407117718004646
2880	0.445716156097067	0.406893801253269	0.255012133972800	0.523800683600151		0.406893801253269
2890	0.444964784374273	0.406668032982576	0.254626184414677	0.523600405460457		0.406668032982576
2900	0.444216941599399	0.406440453838584	0.254243168625746	0.523399882175796		0.406440453838584
2910	0.443472615367494	0.406211103913138	0.253863057946696	0.523199124895537		0.406211103913138
2920	0.442731793181017	0.405980022749035	0.253485824058129	0.522998144601515		0.405980022749035
2930	0.441994462453189	0.405747249345174	0.253111438975847	0.522796952110077		0.405747249345174
2940	0.441260610511305	0.405512822161723	0.252739875046209	0.522595558074107		0.405512822161723
2950	0.440530224599989	0.405276779125295	0.252371104941574	0.522393972985036		0.405276779125295
2960	0.439803291884415	0.405039157634144	0.252005101655795	0.522192207174840		0.405039157634144
2970	0.439079799453468	0.404799994563365	0.251641838499808	0.521990270818010		0.404799994563365
2980	0.438359734322871	0.404559326270101	0.251281289097265	0.521788173933515		0.404559326270101
2990	0.437643083438248	0.404317188598758	0.250923427380257	0.521585926386739		0.404317188598758
3000	0.436929833678155	0.404073616886221	0.250568227585089	0.521383537891412	0.000000000000000	0.404073616886221
3010	0.436219971857052	0.403828645967064	0.250215664248127	0.521181018011507	0.000000000000000	0.403828645967064
3020	0.435513484728235	0.403582310178768	0.249865712201710	0.520978376163138	0.000000000000000	0.403582310178768
3030	0.434810358986718	0.403334643366923	0.249518346570119	0.520775621616424	0.000000000000000	0.403334643366923
3040	0.434110581272061	0.403085678890438	0.249173542765621	0.520572763497344	0.000000000000000	0.403085678890438
3050	0.433414138171168	0.402835449626724	0.248831276484556	0.520369810789576	0.000000000000000	0.402835449626724
3060	0.432721016221012	0.402583987976887	0.248491523703503	0.520166772336309	0.000000000000000	0.402583987976887
3070	0.432031201911340	0.402331325870893	0.248154260675493	0.519963656842047	0.000000000000000	0.402331325870893
3080	0.431344681687312	0.402077494772728	0.247819463926283	0.519760472874391	0.000000000000000	0.402077494772728
3090	0.430661441952100	0.401822525685539	0.247487110250690	0.519557228865799	0.000000000000000	0.401822525685539
3100	0.429981469069442	0.401566449156763	0.247157176708975	0.519353933115338	0.000000000000000	0.401566449156763
3110	0.429304749366147	0.401309295283229	0.246829640623292	0.519150593790410	0.000000000000000	0.401309295283229
3120	0.428631269134558	0.401051093716253	0.246504479574179	0.518947218928461	0.000000000000000	0.401051093716253
3130	0.427961014634963	0.400791873666696	0.246181671397116	0.518743816438679	0.000000000000000	0.400791873666696
3140	0.427293972097967	0.400531663910017	0.245861194179120	0.518540394103664	0.000000000000000	0.400531663910017
3150	0.426630127726814	0.400270492791288	0.245543026255405	0.518336959581092	0.000000000000000	0.400270492791288
3160	0.425969467699671	0.400008388230194	0.245227146206089	0.518133520405347	0.000000000000000	0.400008388230194
3170	0.425311978171859	0.399745377726000	0.244913532852942	0.517930083989152	0.000000000000000	0.399745377726000
3180	0.424657645278049	0.399481488362498	0.244602165256197	0.517726657625170	0.000000000000000	0.399481488362498
3190	0.424006455134406	0.399216746812922	0.244293022711399	0.517523248487591	0.000000000000000	0.399216746812922
